step,avg_token_length,kl_divergence,accuracy
1,428.46,0.0049,0.0000
2,433.75,0.0057,-0.0208
3,381.29,0.0062,0.0833
4,445.71,0.0111,0.0417
5,556.50,0.0179,0.0833
6,501.88,0.0306,0.0729
7,523.83,0.0650,-0.0521
8,361.38,0.0496,0.0625
9,431.58,0.0637,0.0833
10,463.96,0.0616,0.0312
11,607.17,0.1185,0.0000
12,677.21,0.1797,-0.0417
13,489.79,0.1369,0.0833
14,663.92,0.2109,-0.0208
15,443.25,0.1555,0.0208
16,646.83,0.2375,0.0312
17,484.25,0.2351,0.0208
18,665.83,0.4317,-0.0312
19,376.42,0.2794,-0.0208
20,439.33,0.3597,0.0625
21,592.50,0.5258,0.0312
22,621.00,0.5839,-0.0104
23,566.58,0.6479,0.0208
24,563.67,0.8062,0.0104
25,519.25,0.7253,0.0104
26,566.83,1.1905,-0.0417
27,450.25,0.5578,0.0938
29,560.33,1.4109,0.0104
30,615.54,1.6781,-0.0417
31,537.17,1.3073,-0.0417
32,540.67,1.3564,0.0938
33,565.62,1.9691,-0.0104
34,427.17,1.8348,-0.0208
35,662.92,2.1050,0.0417
36,578.46,2.8897,0.0000
37,558.88,2.3767,0.0312
38,599.75,3.1534,0.0833
39,535.88,2.4261,-0.0104
40,540.50,2.5076,0.0208
41,498.58,3.1171,0.0521
42,513.50,4.7752,-0.0312
43,587.54,4.1707,0.0000
44,537.71,4.7100,0.0521
45,526.21,3.2260,0.0833
46,604.75,5.0207,-0.0417
47,528.75,7.1006,-0.0521
48,632.79,5.9913,0.0104
49,539.83,7.8721,-0.0104
50,503.08,5.2286,0.0000
51,325.67,6.3284,0.0208
52,503.96,7.0038,0.1354
53,653.29,5.2320,0.0208
54,632.38,9.4807,0.0312
55,442.58,6.5901,-0.0417
56,542.42,9.9390,0.0625
57,491.83,8.8637,0.0417
58,581.42,9.8458,0.0312
59,603.88,9.5833,0.0312
60,501.08,7.5158,0.0104
61,455.92,9.4198,0.0208
62,537.12,7.9399,-0.0312
63,491.62,12.7349,0.0625
64,319.38,9.7112,-0.0104
65,569.38,17.7438,-0.0208
66,554.21,17.9272,0.1042
67,527.25,16.3940,0.1146
68,435.12,20.9664,-0.0104
69,459.96,12.1057,0.0729
70,452.54,21.2878,0.0208
71,699.33,26.4724,0.0417
72,499.00,22.1375,-0.0104
73,412.29,18.0979,0.0104
74,494.33,27.4660,0.0000
75,514.04,34.9245,-0.0312
76,526.17,34.6004,-0.0521
77,443.33,31.7880,0.0104
78,392.92,43.1977,-0.0729
79,413.75,40.7485,0.0104
80,313.71,28.6911,0.0312
81,524.71,38.8479,-0.0729
82,438.33,43.7242,-0.0104
83,419.04,47.5150,-0.0208
84,462.83,34.1312,0.0417
85,399.42,42.7813,-0.0521
86,380.71,55.7044,-0.0521
87,367.17,50.6432,0.0000
88,459.96,81.5839,-0.0938
89,476.17,63.2105,-0.0521
90,372.46,54.2568,-0.0833
91,459.00,94.3395,-0.0938
92,332.79,59.4915,-0.0208
93,484.42,74.9563,-0.1250
94,487.25,65.6429,-0.0833
95,404.83,94.6726,-0.1146
96,451.79,100.5872,-0.0521
97,356.42,62.5542,-0.0938
98,360.54,83.7251,-0.1250
99,421.75,89.8002,-0.1042
100,483.83,137.3829,-0.1458
101,387.50,103.8716,-0.2500
102,344.92,70.9092,-0.0521
103,443.67,101.6045,-0.1667
104,409.00,109.0914,-0.1771
105,369.17,125.5063,-0.1354
106,377.88,110.2622,-0.1354
107,490.67,189.0907,-0.1562
108,345.54,116.1384,-0.1354
109,418.58,153.6546,-0.1979
110,329.67,130.6449,-0.1771
111,442.62,136.1762,-0.0833
112,421.54,160.7676,-0.2083
113,517.58,180.6192,-0.2500
114,333.46,140.0068,-0.2083
115,502.33,178.4186,-0.1875
116,400.17,174.5449,-0.2188
117,344.88,132.0775,-0.1146
118,416.54,237.2443,-0.2708
119,449.33,217.7647,-0.2292
120,541.54,271.9364,-0.2500
121,391.83,215.6927,-0.1875
122,475.58,208.1466,-0.2188
123,391.54,232.4720,-0.2188
124,580.71,233.7936,-0.2083
125,482.42,237.9024,-0.2812
126,540.38,320.1961,-0.2604
127,603.50,215.6290,-0.2188
128,507.46,314.8315,-0.2500
129,497.79,266.5760,-0.1562
130,639.21,325.8488,-0.2396
131,464.17,277.8595,-0.1354
132,552.58,332.3133,-0.2188
133,761.75,374.5008,-0.1562
134,654.46,458.4740,-0.2188
135,800.92,468.9243,-0.1979
136,636.79,386.8028,-0.1979
137,596.58,259.3980,-0.1146
138,416.21,312.5427,-0.1146
139,610.33,454.4575,-0.2396
140,857.08,534.1367,-0.2604
141,737.38,532.7759,-0.2396
142,647.50,471.3125,-0.1771
143,704.83,492.2637,-0.1667
144,693.67,568.1176,-0.1562
145,984.92,577.8028,-0.1562
146,888.00,577.2621,-0.1771
147,639.88,426.5563,-0.0104
148,745.46,435.0601,-0.1354
149,567.96,597.8834,-0.1250
150,812.83,702.9876,-0.1875
151,926.50,890.2230,-0.2812
152,1138.83,935.5469,-0.1979
153,775.92,900.2090,-0.1667
154,1055.75,1052.0344,-0.2292
155,1048.29,967.6967,-0.2292
156,1320.21,1014.3133,-0.1771
157,994.96,900.8883,-0.3021
158,1205.29,1044.9803,-0.2500
159,855.58,716.2545,-0.1979
160,945.33,838.1006,-0.1146
161,1067.29,1121.0528,-0.2708
162,1330.62,1226.8486,-0.3229
163,1254.67,842.7798,-0.1354
164,1100.75,1088.2174,-0.2917
165,1356.96,1217.5183,-0.2292
166,1105.58,1056.9931,-0.3021
167,1335.08,903.4921,-0.2500
168,1123.83,1115.0846,-0.2396
169,1184.38,1045.5678,-0.2083
170,1372.00,998.8442,-0.2604
171,1553.71,1453.6317,-0.3229
172,1325.12,1165.1988,-0.2396
173,1246.42,1213.4708,-0.2083
174,964.17,818.1102,-0.1979
175,1561.83,1147.0204,-0.2812
176,1254.96,1119.3993,-0.2396
177,1211.23,1036.6734,-0.1771
178,1424.33,1258.7723,-0.2708
179,1520.17,1386.7109,-0.2917
180,1130.85,952.7797,-0.1042
181,1370.44,1216.4739,-0.3125
182,1401.15,1128.6411,-0.3021
183,1173.27,961.7994,-0.1771
184,1078.44,734.7486,-0.1458
185,1227.98,985.0646,-0.1771
186,1119.17,768.7553,-0.0938
187,1046.75,772.9640,-0.1771
188,1349.50,1047.7145,-0.2396
189,1285.65,892.5281,-0.1875
190,1375.40,1003.8508,-0.2708
191,1307.33,988.0412,-0.2188
192,1181.06,848.6963,-0.1562
193,1156.29,769.1861,-0.1875
194,1315.79,953.9264,-0.2396
195,1207.10,803.8152,-0.2188
196,1331.92,959.1946,-0.1979
197,1280.35,869.0077,-0.1667
198,1308.06,886.4428,-0.2396
199,1255.69,899.6117,-0.1979
200,1126.02,739.7067,-0.1875
201,1322.40,842.7828,-0.1979
202,1208.54,722.4492,-0.2188
203,984.85,489.7708,-0.1979
204,1090.75,623.7274,-0.1562
205,1378.67,769.8400,-0.2604
206,1377.81,850.5307,-0.2812
207,1133.75,618.3980,-0.1667
208,1339.67,809.3410,-0.2604
209,1105.06,626.2443,-0.1458
210,1439.46,827.5303,-0.2604
211,1121.85,588.1555,-0.1458
212,1131.25,593.0319,-0.1771
213,1213.58,667.3586,-0.2292
214,1317.71,718.0396,-0.2708
215,1393.27,741.6939,-0.3229
216,1423.29,784.5759,-0.2500
